's-Gravenmoer;
's-Gravenpolder;
's-Gravenzande;
Grevenbicht;
Grijpskerk;
Grijpskerke;
Groede;
Groenlo;
Groesbeek;
Groningen (gemeente);231299
Gronsveld;
Groot-Ammers;
Grootebroek;
Grootegast;
Grubbenvorst;
Gulpen;
Gulpen-Wittem;14246
Haaften;
Haaksbergen;24277
Haamstede;
Haaren;14195
Haarlem;161265
Haarlemmerliede en Spaarnwoude;
Haarlemmermeer;154235
Haastrecht;
Haelen;
Hagestein;
Halderberge;30194
Halsteren;
Den Ham;
Haps;
Hardenberg;60574
Harderwijk;47581
Hardinxveld-Giessendam;18051
Haren;
Harenkarspel;
Harlingen;15758
Harmelen;
Haskerland;
Hasselt;
Hattem;12173
Havelte;
Hazerswoude;
Hedel;
Heel;
Heel en Panheel;
Heemskerk;39164
Heemstede;27286
Heenvliet;
Heer;
's-Heer-Abtskerke;
's-Heer-Arendskerke;
Heerde;18546
's-Heerenhoek;
Heerenveen;50257
Heerewaarden;
Heerhugowaard;56742
Heerjansdam;
Heerlen;86832
Heesch;
Heeswijk;
Heeswijk-Dinther;
Heeze;
Heeze-Leende;15964
Hefshuizen;
Hei- en Boeicop;
Heiloo;23464
Heinenoord;
Heinkenszand;
Heino;
Hekelingen;
Hekendorp;
Helden;
Den Helder;55604
Hellendoorn;35808
Hellevoetsluis;40049
Helmond;91524
Helvoirt;
Hemelumer Oldeferd;
Hendrik-Ido-Ambacht;30966
Hengelo (Gld.);
Hengelo (O.);80683
Hennaarderadeel;
Hensbroek;
Herkingen;
Herten;
's-Hertogenbosch;154205
Herwen en Aerdt;
Herwijnen;
Heteren;
Heukelum;
Heumen;16486
Heusden;44135
Heythuysen;
Hillegom;21966
Hilvarenbeek;15334
Hilversum;90238
Hindeloopen;
Hoedekenskerke;
Hoek;
Hoeksche Waard;86656
Hoenkoop;
Hoensbroek;
Hoevelaken;
Hoeven;
Hof van Twente;34940
Het Hogeland;47888
Hollands Kroon;47815
Holten;
Hontenisse;
Hoofdplaat;
Hoogblokland;
Hooge en Lage Mierde;
Hooge en Lage Zwaluwe;
Hoogeloon, Hapert en Casteren;
Hoogeveen;55662
Hoogezand-Sappemeer;
Hoogkarspel;
Hoogkerk;
Hoogland;
Hoogwoud;
Hoorn;73004
Hoornaar;
Horn;
Horssen;
Horst;
Horst aan de Maas;42291
Houten;49911
Huijbergen;
Huissen;
Huizen;41273
Hulsberg;
Hulst;27524
Hummelo en Keppel;
Hunsel;
Idaarderadeel;
IJlst;
IJsselham;
IJsselmuiden;
IJsselstein;34160
IJzendijke;
Ilpendam;
Itteren;
Jabeek;
Jacobswoude;
Jisp;
Jutphaas;
Kaag en Braassem;26866
Kamerik;
Kampen;53779
Kantens;
Kapelle;12785
Kattendijke;
Katwijk;65302
Katwoude;
Kedichem;
Kerkrade;45642
Kerkwerve;
Kerkwijk;
Kessel;
Kesteren;
Klaaswaal;
Klimmen;
Kloetinge;
Kloosterburen;
Klundert;
Kockengen;
Koedijk;
Koewacht;
Koggenland;22738
Kollumerland en Nieuwkruisland;
Koog aan de Zaan;
Korendijk;
Kortenhoef;
Kortgene;
Koudekerk aan den Rijn;
Koudekerke;
Krabbendijke;
Krimpen aan de Lek;
Krimpen aan den IJssel;29376
Krimpenerwaard;56048
Krommenie;
Kruiningen;
Kuinre;
Kwadijk;
